1738589928.3630357, [187, 116, 88]
1738589928.3963764, [186, 118, 89]
1738589928.4297183, [186, 111, 84]
1738589928.4630592, [191, 121, 88]
1738589928.4964008, [190, 122, 88]
1738589928.5297415, [187, 114, 84]
1738589928.596424, [195, 129, 99]
1738589928.6297655, [185, 119, 89]
1738589928.6631064, [195, 132, 98]
1738589928.6964483, [197, 132, 97]
1738589928.7297888, [189, 126, 92]
1738589928.7631307, [200, 137, 104]
1738589928.796471, [193, 134, 103]
1738589928.829813, [191, 128, 97]
1738589928.8631535, [200, 139, 109]
1738589928.8964953, [198, 140, 109]
1738589928.929836, [193, 134, 101]
1738589928.9631774, [206, 144, 117]
1738589928.9965181, [204, 145, 119]
1738589929.0298598, [199, 137, 110]
1738589929.0632005, [210, 152, 126]
1738589929.096542, [210, 153, 124]
1738589929.1298826, [207, 147, 119]
1738589929.1632242, [216, 164, 131]
1738589929.1965647, [213, 161, 131]
1738589929.2299063, [214, 157, 131]
1738589929.2632468, [221, 171, 144]
1738589929.2965887, [219, 169, 138]
1738589929.3299289, [213, 161, 133]
1738589929.3632705, [223, 173, 145]
1738589929.4299524, [215, 161, 131]
1738589929.4632928, [222, 171, 148]
1738589929.496634, [221, 170, 146]
1738589929.5299745, [213, 156, 128]
1738589929.5633156, [221, 170, 151]
1738589929.596656, [223, 169, 146]
1738589929.6299973, [213, 163, 136]
1738589929.6633375, [220, 173, 155]
1738589929.6966786, [222, 172, 155]
